LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Track_10156,2281,2281,5,0,0,0,0,0,20,155,175,7.113528859,426.6126111,110.3681562,0,0.522762156,0.663118491,0.276237514,0.585088169,0.169588697,23.48094616,10.45524313,7.113528859,0.680379095,0.355676443,0.680379095,0.269508497
Track_10157,2282,2282,5,0,0,0,0,0,20,160,180,5.242035388,24.00970446,111.0698932,0,0.304067097,0.499470079,0.056392599,0.339223981,0.183533739,21.57298851,6.081341942,5.242035388,0.86198662,0.262101769,0.86198662,0.352200046
Track_10158,2283,2283,8,0,0,0,0,0,35,145,180,13.0172038,115.2671178,109.5086733,0,0.570496505,0.972560728,0.223679195,0.587562846,0.249595778,14.84259224,19.96737769,13.0172038,0.651923553,0.371920109,0.651923553,0.303692195
Track_10160,2285,2285,5,0,0,0,0,0,20,155,175,3.674792671,390.5282854,112.3783103,0,0.384417998,0.846001188,0.118996707,0.302584698,0.317949273,21.41167316,7.688359962,4.240216761,0.477968343,0.183739634,0.477968343,0.257412751
Track_10161,2286,2286,7,0,0,0,0,0,30,145,175,2.278237495,383.3864131,112.2767622,0,0.438388649,0.847336604,0.147301319,0.44188467,0.228850874,34.45877062,13.15165946,4.010968309,0.173228139,0.07594125,0.173228139,0.416396713
Track_10164,2289,2289,14,0,0,0,0,0,65,150,215,10.38867403,114.1930016,115.5709616,0,0.528366172,0.855284596,0.260714154,0.57229191,0.211719636,32.20679222,34.34380118,12.29219873,0.302490513,0.159825754,0.302490513,0.44758687
Track_10165,2290,2290,14,0,0,0,0,0,65,150,215,6.048502488,201.6573307,121.4536003,0,0.401812527,0.737947074,0.109860017,0.362268356,0.167274587,57.93805926,26.11781426,8.076851776,0.231585324,0.093053884,0.231585324,0.381568304
Track_10167,2292,2292,74,0,0,0,0,0,365,145,510,14.80908502,298.8384543,118.4770868,0,0.385926502,0.958479052,0.054369816,0.345087808,0.199774066,54.72762129,140.8631734,15.66179544,0.105130991,0.040572836,0.105130991,0.305165763
Track_10168,2293,2293,7,0,0,0,0,0,30,150,180,9.240846464,88.09033743,123.014186,0,0.470275277,1.045907827,0.149695385,0.340702512,0.324560066,25.83204365,14.10825831,9.240846464,0.654995554,0.308028215,0.654995554,0.276301185
Track_10169,2294,2294,9,0,0,0,0,0,40,160,200,5.900458026,443.221957,119.2085692,0,0.284773572,1.186223381,0.025477182,0.215734054,0.375195962,15.37426228,11.39094289,6.834177139,0.517995576,0.147511451,0.517995576,0.39601697
