LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
ID113887,113887,3,88.82331085,208.2830239,21.92544394,0,10,2,1.2,1,,218.1621622,255,0,255,8072,70.70773709,0.581765677,2.269595355
ID113022,113022,3,73.389328,202.0500495,22.82303747,0,35,7,1.2,1,,232.0540541,255,91,255,8586,49.55016871,0.42392565,2.788536925
ID113889,113889,4,83.09848785,36.79242383,29.66209139,0,10,2,1.2,1,,175.5135135,255,12,255,6494,91.69897056,0.544134533,1.348954337
ID112754,112754,4,84.49941254,38.51186596,26.97325182,0,0,0,1.2,1,,109.027027,42,0,255,4034,113.7596117,0.959560386,0.938619827
ID111589,111589,4,94.09016418,32.11353301,33.18314713,0,20,4,1.2,1,,145.027027,104,0,255,5366,111.4783204,0.847779399,1.193771651
ID113334,113334,4,94.70658112,28.67014252,37.05099564,0,25,5,1.2,1,,161.9189189,224,0,255,5991,102.4137519,0.786064246,1.391650823
ID113622,113622,4,10.99614143,27.62924425,35.2039919,0,30,6,1.2,1,,24.08108108,21,0,53,891,15.82610077,0.488443658,0.998651881
ID111305,111305,4,82.40927887,36.31464468,32.74523125,0,15,3,1.2,1,,115.1081081,61,0,255,4259,114.3131138,0.898439883,0.953085869
ID111869,111869,4,77.67307281,37.30890134,29.7945984,0,5,1,1.2,1,,207.0540541,255,12,255,7661,88.2766944,0.457107213,1.471615108
ID113036,113036,4,54.17037201,28.11399736,36.88473899,0,35,7,1.2,1,,106.3243243,98,6,226,3934,60.76505486,0.699284444,1.440112826
ID116352,116352,5,99.04380035,31.66650307,27.08691788,0,50,10,1.2,1,,189.0810811,255,4,255,6996,91.40550019,0.776269239,1.808045372
ID111301,111301,5,94.5473938,38.36939446,29.16369508,0,15,3,1.2,1,,190.972973,255,0,255,7066,92.75400156,0.700028333,1.695620695
ID116039,116039,5,96.95072174,31.78500784,22.65953094,0,45,9,1.2,1,,197.5945946,255,25,255,7311,86.94521246,0.718588535,1.900499484
ID118534,118534,5,24.59711266,38.68857839,20.04058891,0,135,27,1.2,1,,69.13513514,66,29,123,2558,25.33899297,0.437503697,1.660780427
ID113608,113608,5,33.54259109,38.06682515,24.58358154,0,30,6,1.2,1,,77.37837838,72,0,174,2863,39.14102093,0.492813381,1.305252226
ID112459,112459,5,94.8167038,34.50115764,23.49583663,0,40,8,1.2,1,,169.4594595,255,0,255,6270,103.9795906,0.799873089,1.448528056
ID118222,118222,5,52.16296005,38.35732912,20.12149359,0,125,25,1.2,1,,119.0540541,113,14,249,4405,58.11336906,0.580302626,1.504570023
