LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Track_7503,117,117,27,0,0,0,0,0,26,0,26,16.00871795,177.0066835,172.7333039,0,1.539743876,3.338235147,0.335533827,1.226049635,0.960352329,42.26347118,40.03334079,16.00871795,0.399884637,0.615719921,0.399884637,1.421676036
Track_7504,118,118,12,1,0,0,0,1,12,1,13,18.40060483,363.2063473,177.6025942,0,2.832792945,4.297105657,1.091645191,2.654301423,1.072058094,26.3492229,34.81495964,18.40060483,0.528525812,1.533383735,0.541297499,1.694447078
Track_7507,121,121,10,0,0,0,0,0,9,0,9,15.63546351,199.5499101,184.5573029,0,3.474785348,7.366374225,1.47759848,2.598211024,2.074001216,14.18479404,31.27306813,15.63546351,0.499965767,1.737273723,0.499965767,1.144919892
Track_7511,125,125,19,0,0,0,0,0,18,0,18,19.40175284,358.8044903,184.0353313,0,1.588523595,3.18026267,0.228890607,1.783045909,0.780237536,34.90054211,28.59342472,19.40175284,0.678538966,1.077875158,0.678538966,1.409520098
Track_7513,127,127,9,0,0,0,0,0,8,1,9,13.34679296,421.5146851,177.0246896,0,2.896662836,4.009556543,2.112598442,2.830612784,0.576964058,28.39802414,23.17330269,13.34679296,0.575955579,1.66834912,0.575955579,1.155637553
Track_7514,128,128,18,0,0,0,0,0,17,0,17,16.03561262,413.6046029,180.7161009,0,2.447416448,4.752089966,0.507595947,2.4460969,1.185732762,31.39756502,41.60607962,18.32658673,0.385415131,0.94327133,0.385415131,1.642360432
Track_7515,129,129,29,0,0,0,0,0,28,0,28,34.14973777,339.3778994,184.5102353,0,2.097461864,4.136092886,0.269218741,2.153759001,1.215803844,40.85653963,58.72893219,34.14973777,0.581480652,1.219633492,0.581480652,1.314869682
Track_7517,131,131,11,0,0,0,0,0,10,0,10,11.82122323,18.253187,186.3634089,0,2.075270321,3.877884741,0.329435287,2.06509404,1.140093508,35.00862286,20.75270321,12.27067934,0.569623297,1.182122323,0.569623297,1.517492174
Track_7519,133,133,11,0,0,0,0,0,10,0,10,12.81931222,274.0074628,190.2650247,0,2.180200127,3.444117212,0.895054944,2.33930422,0.873807545,30.10768968,21.80200127,12.81931222,0.587987867,1.281931222,0.587987867,1.10721618
Track_7527,141,141,10,0,0,0,0,0,9,0,9,11.88483983,245.9101127,190.4862445,0,2.067688473,2.776052393,1.269174822,2.215799327,0.577461579,28.94681892,18.60919625,11.88483983,0.638654119,1.320537759,0.638654119,1.141264017
Track_7530,144,144,10,0,0,0,0,0,9,0,9,18.68413702,153.9659014,191.5069991,0,2.811138526,4.586231219,0.864819103,2.879322821,1.320918445,21.71555681,25.30024673,18.98275681,0.738496237,2.076015224,0.738496237,1.310048407
Track_7566,180,180,17,1,0,0,0,1,17,1,18,14.01117414,165.9851446,16.83452233,0,1.888803844,3.438128692,0.315265985,1.840023418,0.825954403,26.07322446,33.6589902,15.73360364,0.416268404,0.824186714,0.436353789,1.421652409
Track_7589,203,203,20,0,0,0,0,0,19,0,19,22.50373758,87.36809534,19.2556205,0,2.409193298,7.109581854,0.852152069,1.724932404,1.777885729,15.75364721,45.77467267,22.50373758,0.491619847,1.184407241,0.491619847,1.757098043
Track_7598,212,212,16,1,0,0,0,1,16,0,16,15.79717483,402.4781946,26.17820015,0,2.403611692,4.845791214,0.601857542,2.259139844,1.190147558,20.89293474,37.78165504,15.79717483,0.418117597,0.987323427,0.41076661,1.148319066
Track_7632,246,246,18,0,0,0,0,0,17,0,17,26.29596068,93.72622791,49.35792665,0,2.362265851,4.892746233,0.674803767,2.269718578,1.150837757,26.28796784,40.15851946,26.37319433,0.654804038,1.546821217,0.654804038,1.170473592
Track_7638,252,252,12,1,0,0,0,1,12,0,12,20.91597701,299.249207,46.40513535,0,2.550603517,4.21213408,1.144225356,3.019407101,1.082614117,21.79449431,29.20086405,20.91597701,0.716279388,1.742998084,0.683366926,0.889275222
Track_7640,254,254,11,1,0,0,0,1,11,0,11,23.18140902,327.5158309,49.08784091,0,2.4963056,4.183996164,0.264966781,3.324267021,1.516470219,19.59217522,28.41202031,23.18140902,0.815901466,2.10740082,0.844207864,0.714867441
Track_7646,260,260,12,1,0,0,0,1,12,0,12,23.73889209,105.799073,54.4770448,0,3.191691484,6.559826549,0.198570499,3.245409478,1.855077504,13.89141285,38.74057037,23.73889209,0.612765684,1.978241008,0.619809595,1.461696019
Track_7651,265,265,17,0,0,0,0,0,16,0,16,16.74827767,17.61983086,60.76511291,0,2.034775704,7.347128503,0.560369667,1.477743565,1.732885302,30.51737112,32.55641126,16.74827767,0.514438693,1.046767354,0.514438693,1.290377556
Track_7654,268,268,11,1,0,0,0,1,11,1,12,13.97224292,51.00557429,59.81542147,0,2.010390339,3.793183912,0.9821952,1.804617059,0.98718522,24.06612162,21.26788135,13.97224292,0.656964495,1.270203902,0.631819541,1.555896531
Track_7656,270,270,18,0,0,0,0,0,17,0,17,19.9956002,187.712473,56.06967993,0,2.368234004,4.086781107,0.540674598,2.283636531,1.199891585,29.87087785,40.25997807,19.9956002,0.496661974,1.176211776,0.496661974,1.297507065
Track_7658,272,272,26,2,0,0,0,1,27,0,27,32.41138548,366.4431155,67.89082147,0,2.341192517,4.761253672,0.39246434,2.200504473,1.041256746,30.20844168,62.00274243,32.41138548,0.52274116,1.200421685,0.512739416,0.9981196
Track_7662,276,276,13,0,0,0,0,0,12,0,12,21.2053805,80.68405425,56.86881234,0,2.88463367,5.290827798,0.274309817,2.916199099,1.645271501,16.12940044,34.61560404,21.2053805,0.612595998,1.767115041,0.612595998,1.633722653
Track_7671,285,285,16,0,0,0,0,0,15,0,15,26.28481035,38.97422417,71.92937529,0,2.37658274,4.390647578,0.544256965,2.150255523,1.067227144,26.50204885,35.64874109,26.28481035,0.73732787,1.75232069,0.73732787,1.343973687
Track_7674,288,288,22,3,0,0,0,1,24,1,25,22.64505404,117.4066342,56.95520841,0,2.418690244,4.441328186,0.844891118,2.353795443,0.902207289,19.36310929,57.43373747,27.48944334,0.394281393,0.943543918,0.390105315,1.468304538
