LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
ID600833_ID604403,98,600833,604403,5.604805618,0.530892102,2.367447068,2.367447068,10.5,405.8031335,164.0552577,0,
ID609416_ID605911,98,609416,605911,0.745773135,0.373591452,0.863581574,0.863581574,1.5,424.6926197,170.1445269,0,
ID604403_ID608892,98,604403,608892,3.381677046,0.220046394,1.838933671,1.838933671,11.5,403.765168,163.5887618,0,
ID608413_ID603438,98,608413,603438,8.791463535,0.022850076,2.965040225,2.965040225,6.5,414.8848104,167.7814072,0,
ID604912_ID600891,98,604912,600891,11.96064495,2.712763594,3.458416537,3.458416537,14.5,402.2707933,165.6490655,0,
ID607919_ID609416,98,607919,609416,3.485734506,NaN,1.867012187,1.867012187,0.5,426.0313698,170.2717158,0,
ID599991_ID604912,98,599991,604912,15.61086825,2.723132533,3.95105913,3.95105913,13.5,401.8159399,164.9617399,0,
ID607158_ID607410,99,607158,607410,0.13006874,1.058889948,0.36065044,0.36065044,4.5,20.03627646,170.8759144,0,
ID602278_ID605412,99,602278,605412,2.409473858,0.187342035,1.552248002,1.552248002,8.5,11.97384337,171.8480134,0,
ID608415_ID603447,99,608415,603447,9.490168323,1.856047222,3.08061168,3.08061168,6.5,16.06695307,171.4168757,0,
ID609419_ID605916,99,609419,605916,2.847890899,NaN,1.687569524,1.687569524,1.5,24.65025668,172.9185584,0,
ID602366_ID607158,99,602366,607158,33.69709848,2.086415315,5.804920196,5.804920196,3.5,21.38820756,173.5483338,0,
ID605916_ID602366,99,605916,602366,7.792056751,0.045582876,2.791425577,2.791425577,2.5,23.54331858,174.8647318,0,
ID603447_ID602278,99,603447,602278,12.9973533,1.880980206,3.605184225,3.605184225,7.5,14.44411683,172.5541064,0,
ID607410_ID608415,99,607410,608415,18.31962789,1.911640941,4.280143443,4.280143443,5.5,18.03008264,170.3018022,0,
ID617926_ID616948,107,617926,616948,5.402210244,0.590425708,2.324265528,2.324265528,35.5,225.2940268,164.1427117,0,
ID608419_ID603444,107,608419,603444,2.123811,0.255646079,1.457330093,1.457330093,6.5,251.570113,171.5649206,0,
ID610913_ID615422,107,610913,615422,1.88289349,2.824307044,1.372185661,1.372185661,32.5,228.5930102,164.9775416,0,
ID604930_ID601457,107,604930,601457,40.26683364,0.959279283,3.172807654,6.345615308,15,238.4580497,169.639595,0,
ID602349_ID607153,107,602349,607153,5.701114324,0.915293898,2.387700635,2.387700635,3.5,254.7094521,170.4946823,0,
ID617449_ID619422,107,617449,619422,1.032324246,1.23885713,1.016033585,1.016033585,21.5,232.1661017,169.1100152,0,
ID607416_ID608419,107,607416,608419,4.644126027,1.885485549,2.15502344,2.15502344,5.5,253.3413984,171.2932808,0,
ID611393_ID618406,107,611393,618406,1.740123051,2.528660529,1.319137237,1.319137237,25.5,228.2911256,166.7328722,0,
ID610399_ID613395,107,610399,613395,1.271541923,2.189482586,1.127626677,1.127626677,23.5,230.1235647,167.2304825,0,
ID611879_ID614907,107,611879,614907,1.006076562,1.635786688,1.00303368,1.00303368,28.5,225.2246643,163.9085361,0,
ID608905_ID600004,107,608905,600004,1.037779996,2.118250425,1.018714875,1.018714875,12.5,239.6327557,171.9272181,0,
ID607924_ID609414,107,607924,609414,3.624952638,NaN,1.903930839,1.903930839,0.5,260.354608,171.0959834,0,
ID603444_ID602289,107,603444,602289,2.440758205,0.967763851,1.562292612,1.562292612,7.5,250.3981247,172.207738,0,
ID609896_ID610913,107,609896,610913,0.230584425,2.156239961,0.480192071,0.480192071,31.5,228.3014163,165.338555,0,
ID604420_ID608905,107,604420,608905,13.47604858,0.695513936,3.670973792,3.670973792,11.5,241.2081522,171.5109198,0,
ID603924_ID602924,107,603924,602924,3.39418367,1.81877263,1.842331042,1.842331042,17.5,236.7388358,166.3823948,0,
ID614907_ID614582,107,614907,614582,1.920335719,2.879916515,1.385761783,1.385761783,29.5,225.4668956,163.9485733,0,
ID602289_ID600852,107,602289,600852,39.79680494,0.653629384,3.154235444,6.308470887,9,246.9810936,171.7991071,0,
ID612380_ID611879,107,612380,611879,2.87335609,0.447805416,1.695097664,1.695097664,27.5,226.0937969,164.3076049,0,
ID600852_ID604420,107,600852,604420,1.545796442,1.023641488,1.243300624,1.243300624,10.5,243.5254481,171.139981,0,
ID601457_ID603924,107,601457,603924,4.461097187,1.193300567,2.112130959,2.112130959,16.5,237.8925002,165.988263,0,
