LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
ID112064_ID114087,347,112064,114087,2.502935826,0.619872472,0.316413389,1.582066947,7.5,437.2373251,168.1160982,0,
ID112956_ID112064,347,112956,112064,12.94720032,NaN,0.719644366,3.598221828,2.5,437.5440477,169.0777005,0,
ID112103_ID114129,348,112103,114129,19.39261009,NaN,0.880740827,4.403704133,7.5,185.8051636,189.7865187,0,
ID112102_ID114128,349,112102,114128,14.87177555,0.325345271,0.771278822,3.856394112,7.5,134.7203766,189.4186393,0,
ID112988_ID112102,349,112988,112102,0.456026722,NaN,0.135059501,0.675297507,2.5,135.1695761,187.5325371,0,
ID112116_ID114139,350,112116,114139,4.544565868,0.232648685,0.426359748,2.13179874,7.5,404.6350118,195.5829639,0,
ID113001_ID112116,350,113001,112116,20.91970653,NaN,0.914761314,4.573806569,2.5,407.3363167,196.5836536,0,
ID112125_ID114146,352,112125,114146,0.523360359,0.482315724,0.144687299,0.723436493,7.5,168.260779,200.0641509,0,
ID113004_ID112125,352,113004,112125,13.57140191,NaN,0.736787674,3.683938369,2.5,169.8480521,200.17039,0,
ID111631_ID113372,354,111631,113372,31.60933816,NaN,1.124443652,5.62221826,22.5,322.766443,61.70584667,0,
ID111681_ID113422,356,111681,113422,1.153969138,0.271981262,0.214845911,1.074229556,22.5,78.84571872,91.7264823,0,
ID111390_ID111681,356,111390,111681,11.4419948,0.620338156,0.676520356,3.38260178,17.5,77.09234283,91.05195674,0,
ID111951_ID111390,356,111951,111390,5.792853945,0.158806223,0.240683484,2.40683484,10,76.60924407,90.96315346,0,
ID112846_ID111951,356,112846,111951,12.25222005,NaN,0.700063427,3.500317136,2.5,77.70433998,92.76296099,0,
ID111761_ID113492,357,111761,113492,1.512641952,0.301037923,0.24597902,1.229895098,22.5,338.8657384,152.2695382,0,
ID111471_ID111761,357,111471,111761,11.32299584,NaN,0.67299319,3.364965949,17.5,338.8556218,154.0983269,0,
ID117277_ID117904,363,117277,117904,5.076477951,0.492509965,0.450620814,2.25310407,112.5,418.01855,18.0872239,0,
ID115717_ID117277,363,115717,117277,0.79435578,NaN,0.178253278,0.891266391,107.5,418.4495705,17.37969462,0,
ID117904_ID117594,363,117904,117594,7.09820592,0.247795092,0.532849169,2.664245845,117.5,416.0132006,18.0872239,0,
ID116648_ID115724,364,116648,115724,5.402807853,0.392813179,0.464878817,2.324394083,102.5,201.5448632,27.59852182,0,
ID117283_ID117914,364,117283,117914,6.41887294,0.411125089,0.506709895,2.533549475,112.5,197.8955613,27.98033378,0,
ID115724_ID117283,364,115724,117283,9.693858402,0.075554455,0.622699234,3.11349617,107.5,198.9541161,26.94618231,0,
ID114782_ID116648,364,114782,116648,32.22946813,NaN,1.135420066,5.677100328,97.5,202.7831381,25.28630282,0,
ID115422_ID114785,365,115422,114785,0.211847933,0.334945337,0.092053883,0.460269413,92.5,307.4616801,28.87930465,0,
ID116357_ID111013,365,116357,111013,5.338240042,0.00325997,0.462092633,2.310463166,52.5,307.2862365,32.86313732,0,
ID111013_ID110714,365,111013,110714,0.511259528,0.396477368,0.143004829,0.715024145,57.5,306.2361579,32.69212082,0,
ID112475_ID116055,365,112475,116055,5.737846828,0.028552003,0.479076062,2.39538031,42.5,310.8403518,35.97174859,0,
ID119126_ID119424,365,119126,119424,3.715327058,0.450617747,0.385503674,1.927518368,142.5,309.7138189,18.23488878,0,
