LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ¦Ã rate
,,,,,,,,,(frame),(frame),(frame),(?m),(?m),(?m),(?m),(?m/frame),(?m/frame),(?m/frame),(?m/frame),(?m/frame),(quality),(?m),(?m),,(?m/frame),,(rad/frame)
Track_5451,75,75,33,3,0,0,0,1,35.0,0.0,35.0,70.3417306360004,136.82093896405632,38.45856867885227,0.0,3.4154091068104617,7.776068564060458,0.6009630683179448,3.0573631704760045,1.8998611506079524,13.391611157041607,115.2305978046517,70.3417306360004,0.6104431633275863,2.0097637324571545,0.5884401164269327,1.1737088348221425
Track_5453,77,77,21,0,0,0,0,0,20.0,0.0,20.0,41.014663497241344,199.08489505536414,38.21119168659999,0.0,3.268755022185675,7.916546645101707,1.44637441714952,2.956306189187358,1.64486007270614,14.545962560744513,65.37510044371349,41.014663497241344,0.6273743859491896,2.050733174862067,0.6273743859491895,1.0098247396382187
Track_5455,79,79,35,1,0,0,0,1,35.0,0.0,35.0,54.0418031231963,373.49474357418427,32.62806726708581,0.0,2.928079763129374,6.574693883472876,0.8092245909951588,2.9056791616416917,1.4665998769242004,9.745993382590157,104.02179554595578,54.0418031231963,0.5195238443977943,1.5440515178056087,0.527325634106159,1.3267349968934061
Track_5460,84,84,43,0,0,0,0,0,42.0,0.0,42.0,97.64430704133697,131.13874723103748,35.35049234087694,0.0,3.411724895062467,7.523586709542788,0.44671140970929274,3.4830661369403444,1.4623595522364883,19.940658314283503,143.29244559262364,97.64430704133697,0.6814337394934061,2.324864453365166,0.6814337394934064,1.2990211754638574
Track_5466,90,90,21,0,0,0,0,0,20.0,0.0,20.0,38.1888555203205,189.58950485653438,29.34734884625888,0.0,3.116793418068667,6.490102451332427,1.2525204060424475,2.606228169458828,1.6040866303731132,12.060373011089506,62.335868361373336,38.1888555203205,0.6126305211460625,1.909442776016025,0.6126305211460625,1.1466022985538062
Track_5497,121,121,28,1,0,0,0,1,28.0,0.0,28.0,73.52381429512626,229.03060991094563,59.02153479151726,0.0,4.000527872848676,9.301609543426892,1.2624610965785024,3.6738601946188414,1.791899086131976,13.223080498831612,111.14979676542349,73.52381429512626,0.6614840191772449,2.6258505105402237,0.6563760068669191,0.914880629054088
Track_5498,122,122,47,2,0,0,0,1,48.0,0.0,48.0,85.85879308590299,303.2898085273321,57.141922413093624,0.0,3.7326103945485904,7.163478284670006,0.46026598487172826,3.729775290985951,1.7254540855526443,16.838769131518426,177.0097228924384,92.74030549138601,0.4850512823980629,1.7887248559563123,0.47921552663752753,1.1372984744690084
Track_5499,123,123,22,1,0,0,0,1,22.0,0.0,22.0,45.958276978414375,223.79377912334485,66.11329809259507,0.0,3.153920954789612,4.997249176346403,1.4029578667482974,3.11998976681198,1.1516786519349753,15.931563247333873,67.75415652026966,45.958276978414375,0.6783093368547105,2.089012589927926,0.6623541362872479,1.0405942317186643
Track_5501,125,125,39,3,0,0,0,1,41.0,3.0,44.0,82.66248317688891,76.10228598384376,73.75781358228618,0.0,3.548960608301819,7.6130262573817795,0.3168561474871354,3.768991652552308,1.8000164581579075,13.589477722461407,145.93915992521045,82.66248317688891,0.5664174250369196,2.016158126265583,0.5680981979764258,1.3724980704850958
Track_5504,128,128,20,1,0,0,0,1,20.0,0.0,20.0,60.06568023111855,109.95441965020727,64.39663543869784,0.0,3.586318001231124,6.059261091512013,1.0350918923678023,3.5969338479625494,1.391116716056309,23.009833264350892,72.62129497210007,60.06568023111855,0.8271083606288597,3.0032840115559276,0.8374282510711403,0.6680484764472774
