LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
ID114172,114172,7084,42.39852905,278.0154024,22.84161418,0,117,117,1.25,1,,68.37837838,26,3,255,2530,91.79395748,0.694774384,0.610754401
ID114879,114879,7084,27.89228249,281.0351994,25.03100018,0,116,116,1.25,1,,65.37837838,50,5,214,2419,55.12226378,0.456168953,0.743106486
ID112160,112160,7086,7.11750555,374.711142,26.64361417,0,113,113,1.25,1,,28.48648649,19,5,111,1054,26.51898861,0.341551661,0.54696675
ID114192,114192,7086,24.69394493,374.2067321,27.75540446,0,117,117,1.25,1,,54.05405405,34,5,188,2000,47.44233104,0.542802043,0.801721473
ID113525,113525,7086,43.41558075,376.3512826,25.6198053,0,114,114,1.25,1,,82.83783784,47,5,255,3065,82.57808208,0.694011443,0.821947824
ID117593,117593,7086,47.52334595,375.7029332,24.0675545,0,120,120,1.25,1,,73.32432432,29,3,255,2713,94.5339604,0.716485062,0.647526169
ID114904,114904,7086,8.427974701,374.7481085,28.76544539,0,116,116,1.25,1,,27.2972973,19,5,149,1010,30.377134,0.296695851,0.411221866
ID116923,116923,7086,33.49274063,376.6605227,25.66760459,0,119,119,1.25,1,,75.27027027,40,5,255,2785,78.86509179,0.595963133,0.712795908
ID115562,115562,7086,42.21934891,375.1760456,25.30655133,0,118,118,1.25,1,,79.05405405,43,5,255,2925,86.79539989,0.627209791,0.702144849
ID118266,118266,7086,49.22218323,374.9170855,24.90750099,0,121,121,1.25,1,,79.67567568,41,5,255,2948,90.73497857,0.671359728,0.705450203
ID118938,118938,7086,26.30076981,377.9233971,24.32096157,0,122,122,1.25,1,,60.67567568,36,5,255,2245,71.71008532,0.645654247,0.663935354
ID116271,116271,7086,47.2149086,374.8925803,27.86899212,0,115,115,1.25,1,,78.91891892,43,5,255,2920,88.27777447,0.648876515,0.703612701
ID120318,120318,7086,17.81760788,380.3829741,23.07657839,0,123,123,1.25,1,,43.89189189,20,5,224,1624,52.66286051,0.607891311,0.630201016
ID116259,116259,7087,36.54151535,61.96570508,27.40397444,0,115,115,1.25,1,,69.7027027,36,5,255,2579,78.06616313,0.769417684,0.776512729
ID114882,114882,7087,14.4691534,63.3641087,25.77686324,0,116,116,1.25,1,,38.62162162,29,5,137,1429,32.23727255,0.505516481,0.804548102
ID112165,112165,7087,41.46812057,59.10464662,28.19214394,0,113,113,1.25,1,,75.62162162,36,5,255,2798,80.68538053,0.764696607,0.812269681
ID115589,115589,7087,25.56092453,60.95565353,29.8516155,0,118,118,1.25,1,,55.7027027,36,5,255,2061,62.51304969,0.660726476,0.709021129
ID118308,118308,7087,12.81477451,54.21031462,34.74560376,0,121,121,1.25,1,,32.54054054,22,5,118,1204,27.29122223,0.489024013,0.783177598
ID119652,119652,7087,44.26506805,60.22845235,29.56821547,0,124,124,1.25,1,,85.54054054,48,5,255,3165,81.12870248,0.743192487,0.899049121
ID114183,114183,7087,31.59276962,60.15911503,26.74489987,0,117,117,1.25,1,,64.75675676,48,5,217,2396,55.2838159,0.694683485,0.960318842
