LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,¦Ã rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/frame),(?m/frame),(?m),(frame),(?m),(?m),(?m),
ID117080 ¡ú ID109600,360,117080,109600,3.6275001561397953,0.19343024844799672,1.9045997364642775,1.9045997364642775,33.5,271.2919160021636,164.833953351575,0.0,
ID116244 ¡ú ID119718,360,116244,119718,2.288687565823146,1.5405412264531033,1.512840892434874,1.512840892434874,39.5,277.7785121396847,173.8063995565883,0.0,
ID115807 ¡ú ID116244,360,115807,116244,0.5064502166210088,1.2703675655874236,0.7116531575290092,0.7116531575290092,38.5,277.143925185517,173.2475006825593,0.0,
ID111364 ¡ú ID116675,360,111364,116675,2.4372892038753884,0.7989835383926289,1.561181989351462,1.561181989351462,35.5,275.9563784806036,169.36638104127553,0.0,
ID100399 ¡ú ID106995,360,100399,106995,6.5895955893284714,2.8341991816940797,2.5670207613746467,2.5670207613746467,1.5,213.12861814392687,168.7475921656428,0.0,
ID118844 ¡ú ID120132,360,118844,120132,0.9112753067694503,2.339684593979135,0.9546074097603948,0.9546074097603948,42.5,279.968286902595,168.26914281612844,0.0,
ID121435 ¡ú ID126416,360,121435,126416,10.916842205939082,1.576568778230348,3.304064497847928,3.304064497847928,55.5,302.2950810006621,160.58791538506597,0.0,
ID110904 ¡ú ID114879,360,110904,114879,0.3336432970693929,1.036740991843641,0.5776186432841247,0.5776186432841247,29.5,268.604885511204,159.23604892357508,0.0,
ID119718 ¡ú ID124180,360,119718,124180,19.528984512436345,1.6014763947851056,4.4191610643239,4.4191610643239,40.5,279.0660218616114,171.88437010393326,0.0,
ID104794 ¡ú ID105237,360,104794,105237,1.1798039548649453,0.42796317303430886,1.086187808284067,1.086187808284067,12.5,233.57038082833168,166.3188469571533,0.0,
ID114879 ¡ú ID111801,360,114879,111801,5.509124969781356,1.3566870275882659,2.347152523757533,2.347152523757533,30.5,269.40318820864604,160.21963358198164,0.0,
ID111801 ¡ú ID112678,360,111801,112678,4.128397251737856,0.15277043201316876,2.031845774594582,2.031845774594582,31.5,271.0224006664997,161.68397152934716,0.0,
ID117963 ¡ú ID118412,360,117963,118412,2.5678964970070473,2.680665680651948,1.6024657553305304,1.6024657553305304,46.5,288.4331842202759,169.20780495668038,0.0,
ID118412 ¡ú ID120577,360,118412,120577,78.29084532750494,3.0868178297978828,8.848211419688441,8.848211419688441,47.5,290.5023408910977,166.2321653976939,0.0,
ID100834 ¡ú ID101281,360,100834,101281,0.5038773675945301,0.00831861965390482,0.7098431993014584,0.7098431993014584,7.5,222.30093275588843,163.15484298897968,0.0,
ID119267 ¡ú ID121035,360,119267,121035,14.575605521526345,0.43783112592528567,3.8178011369800737,3.8178011369800737,44.5,283.55394693355606,169.8479529990352,0.0,
